familly;genus;species;commercial name;id;a;j;b;c;d;e;f;i;h;g;k;Reference;DOI;
Caesalpiniaceae;Afzelia;-;Doussie;Afzelia sp.;0,8;7,7;0,44;4,4;3;1,5;19;74;124;17020;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706978;
Mimosaceae;Albizia;ferrugina;Iatandza;Albizia ferrugina;0,6;3,4;0,43;4,9;2,8;1,8;24;50;81;13000;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706979;
Apocynaceae;Alstonia;-;Emien;Alstonia sp.;0,36;0,7;0,37;5,2;3,8;1,4;32;27;43;8090;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706980;
Caesalpiniaceae;Amphimas;ferrugineus;Lati;Amphimas ferrugineus;0,82;5,8;0,69;10,8;6,4;1,7;30;73;128;16830;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706981;
Sapotaceae;Aningeria;-;Aningre;Aningeria sp.;0,57;2,5;0,41;7;3,7;1,9;31;48;84;13690;4,5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706982;
Rhizophoraceae;Anopyxis;klaineana;Bodioa;Anopyxis klaineana;0,89;7;0,65;10,3;6,2;1,7;30;75;132;20290;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706983;
Moraceae;Antiaris;toxicaria;Ako;Antiaris toxicaria;0,47;1,5;0,39;6,9;4;1,7;35;36;58;9000;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706984;
Anacardiaceae;Antrocaryon;-;Onzabili;Antrocaryon sp.;0,55;1,9;0,45;6,9;4,6;1,5;31;40;76;13450;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706985;
Burseraceae;Aucoumea;klaineana;Okoumé;Aucoumea klaineana;0,44;1,6;0,33;6,9;4,6;1,5;40;36;62;9690;4;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706986;
Sapotaceae;Autranella;congolensis;Mukulungu;Autranella congolensis;0,94;7,7;0,66;8,4;7,4;1,1;26;74;119;17060;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706987;
Sapotaceae;Baillonela;toxisperma;Moabi;Baillonela toxisperma;0,87;6,8;0,64;8,7;6,5;1,3;23;74;143;21040;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706988;
Lauraceae;Bellschmiedia;-;Kanda;Bellschmiedia sp.;0,7;3,7;0,49;7,7;3,8;2;29;55;105;16060;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706989;
Caesalpiniaceae;Berlinia;-;Ebiara;Berlinia sp.;0,7;4;0,53;7,8;3,8;2,1;28;57;93;12870;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706990;
Caesalpiniaceae;Bobgunnia;fistuloides;Pao rosa;Bobgunnia fistuloides;1,02;9,1;0,66;6,2;4,2;1,5;19;90;149;21290;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706991;
Caesalpiniaceae;Brachytegia;-;Bomanga;Brachytegia sp. 1;0,56;2,9;0,4;6;3,7;1,6;28;49;85;12400;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706992;
Caesalpiniaceae;Brachytegia;-;Naga;Brachytegia sp. 2;0,62;3,2;0,44;6,8;4,6;1,5;30;55;93;12880;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706993;
Burseraceae;Canarium ;Schweinfuthii;Aiélé;Canarium schweinfurthii;0,49;1,3;0,42;9,9;5,9;1,7;40;36;59;10490;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706994;
Malvaceae;Ceiba;pentandra;Fromager;Ceiba pentandra;0,32;0,8;0,36;6,3;3;2,1;34;22;36;5130;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706995;
Ulmaceae;Celtis;-;Celtis d'Afrique;Celtis sp.;0,74;7;0,55;7,8;4,4;1,8;28;59;113;16500;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706996;
Arecaceae;Cocos;nucifera;Cocotier;Cocos nucifera;0,9;8,3;0,52;6,1;5,6;1,1;23;60;82;13800;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706997;
Myristicaceae;Coelocaryon;preussii;Ekoune;Coelocaryon preussii;0,53;1,9;0,44;6,9;3,8;1,8;25;38;73;12460;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706998;
Caesalpiniaceae;Copaifera;-;Etimoe ;Copaifera sp.;0,71;5;0,53;7,5;4,5;1,7;26;68;115;14560;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F706999;
Boraginaceae;Cordia;platyhyrsa;Cordia d'Afrique;Cordia platyhyrsa;0,5;1,3;0,25;4,6;3,4;1,4;31;38;73;8600;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707000;
Olacaceae;Coula ;edulis;Coula;Coula edulis;1,01;7,5;0,63;8,5;4,5;1,9;23;78;142;19490;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707001;
Mimosaceae;Cyllcodiscus;gabunensis;Okan;Cyllcodiscus gabunensis;0,91;10,3;0,61;7,9;5,8;1,4;25;82;134;22260;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707002;
Burseraceae;Dacryodes ;igaganga;Igaganga;Dacryodes igaganga;0,61;3,2;0,46;7,8;5;1,6;29;57;95;13060;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707003;
Burseraceae;Dacryodes ;normandii;Ossabel;Dacryodes normandii;0,59;2,9;0,51;7,7;4,6;1,7;28;48;87;15040;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707004;
Burseraceae;Dacryodes ;buettneri;Ozigo;Dacryodes  buettneri;0,59;2,8;0,42;7,3;5,2;1,4;33;52;91;13820;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707005;
Caesalpiniaceae;Daniella;-;Faro;Daniella sp.;0,55;2,3;0,43;6,8;3,5;1,9;30;38;66;9550;4,5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707006;
Irvingiaceae;Desbordesia;glaucescens;Alep;Desbordesia glaucescens;1,05;10,9;0,67;10,9;6,8;1,6;28;80;157;23390;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707007;
Amouk;Detarium;macrocarpum;Amouk;Detarium macrocarpum;0,66;3,9;0,38;5,4;3,8;1,4;24;55;99;13100;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707008;
Caesalpiniaceae;Dialium;-;Eyoum;Dialium sp.;0,94;10,3;0,5;8,7;4,9;1,8;28;90;162;22700;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707009;
Caesalpiniaceae;Didelotia;-;Gombe;Didelotia sp.;0,64;2,8;0,5;8,6;4,6;1,9;32;54;90;13940;4;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707010;
Ebenaceae;Diospyros;-;Ebene;Diospyros sp.;0,9;7;0,51;11;7;1,6;29;58;130;15500;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707011;
Caesalpiniaceae;Distemonanthus;benthamianus;Movingui;Distemonanthus benthamianus;0,73;5,6;0,54;5,8;3,6;1,6;23;64;116;14740;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707012;
Meliaceae;Entadrophragma;candollei;Kosipo;Entadrophragma candollei;0,69;3,3;0,42;6,7;4,8;1,4;32;53;87;11190;2,5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707013;
Meliaceae;Entadrophragma;cylindricum;Sapelli;Entadrophragma cylindricum;0,69;4,2;0,47;7,2;5;1,4;29;62;102;13960;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707014;
Meliaceae;Entadrophragma;utile;Sipo;Entadrophragma utile;0,62;3;0,42;6,4;4,6;1,4;30;56;91;13240;2,5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707015;
Meliaceae;Entadrophragma;-;Tiama;Entadrophragma sp.;0,55;2,2;0,41;8;4,6;1,7;32;47;80;10980;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707016;
Malvaceae;Eribroma;oblonga;Eyong;Eribroma oblonga;0,74;3,7;0,48;10,6;4,6;2,3;34;56;100;17110;4;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707017;
Erythroxylaceae;Erythrophleum;-;Tali;Erythrophleum sp.;0,91;9,2;0,57;8,4;5,1;1,6;26;79;128;19490;1;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707018;
Erythroxylaceae;Erythroxylum;manii;Landa;Erythroxylum manii;0,66;2,6;0,46;8,8;3,8;2,3;30;53;91;14010;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707019;
Rutaceae;Fagara ;heitzii;Olon;Fagara heitzii;0,52;2;0,4;5,7;3,8;1,5;30;44;72;12410;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707020;
Mimosaceae;Fillaeopsis;discophora;Nieuk;Fillaeopsis discophora;0,58;2,6;0,42;6,4;3,3;1,9;25;45;79;11700;4;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707021;
Rubiaceae;Fleroya;-;Abura;Fleroya sp.;0,6;2;0,44;8,9;4,3;2,1;32;46;78;11020;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707022;
Sapotaceae;Gambeya;-;Longhi;Gambeya sp.;0,75;4,9;0,51;8,2;5,2;1,6;31;67;122;18490;4;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707023;
Caesalpiniaceae;Gilbertiodendron;-;Limbali;Gilbertiodendron sp.;0,81;5,1;0,62;9,1;4,7;1,9;28;72;137;18010;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707024;
Caesalpiniaceae;Gossweillerodendron;balsamiferum;Tola;G. balsamiferum;0,52;2,3;0,33;5,4;2,4;2,3;27;40;74;10920;2,5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707025;
Meliaceae;Guarea;-;Bosse;Guarea sp.;0,63;4,2;0,45;6,8;4,1;1,7;31;55;95;12650;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707026;
Caesalpiniaceae;Guibourtia;-;Bubinga;Guibourtia sp.;0,92;10,2;0,62;7,9;5,5;1,4;24;76;137;20180;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707027;
Caesalpiniaceae;Guibourtia;arnoldiana;Munteye;Guibourtia arnoldiana;0,79;5,9;0,56;8,8;5;1,8;27;79;138;21250;3;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707028;
Caesalpiniaceae;Guibourtia;ehie;Ovengkol;Guibourtia ehie;0,82;7,5;0,57;8;3,9;2,1;24;69;127;21470;2;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707029;
Ulmaceae;Holoptelea;grandis;Kekele;Holoptelea grandis;0,65;3,2;0,54;8,3;4,4;1,9;26;60;105;14960;5;Tropix 7 data sheets, BiowooEB, Cirad;doi:10.18167/74726F707030;
